id,code,code_identification,name,nationality,designer_iata,iron_line,start_date
waybill_complemento_estacion_239,03,EA0120,Al Maktoum,Emiratos Árabes Unidos,DWC,,2021-06-01
waybill_complemento_estacion_240,03,EA0121,El Prat,España,BCN,,2021-06-01
waybill_complemento_estacion_241,03,EA0122,Adolfo Suarez Madrid–Barajas,España,MAD,,2021-06-01
waybill_complemento_estacion_242,03,EA0123,Son Sant Joan,España,PMI,,2021-06-01
waybill_complemento_estacion_243,03,EA0124,Manises,España,VLC,,2021-06-01
waybill_complemento_estacion_244,03,EA0125,Zaragoza,España,ZAZ,,2021-06-01
waybill_complemento_estacion_245,03,EA0126,Albuquerque International,Estados Unidos,ABQ,,2021-06-01
waybill_complemento_estacion_246,03,EA0127,Atlantic City International,Estados Unidos,ACY,,2021-06-01
waybill_complemento_estacion_247,03,EA0128,Addison,Estados Unidos,ADS,,2021-06-01
waybill_complemento_estacion_248,03,EA0129,Joint Base Andrews,Estados Unidos,ADW,,2021-06-01
waybill_complemento_estacion_249,03,EA0130,Alexandria International,Estados Unidos,AEX,,2021-06-01
waybill_complemento_estacion_250,03,EA0131,Fort Worth Alliance,Estados Unidos,AFW,,2021-06-01
waybill_complemento_estacion_251,03,EA0132,Albany International,Estados Unidos,ALB,,2021-06-01
waybill_complemento_estacion_252,03,EA0133,Waterloo Regional,Estados Unidos,ALO,,2021-06-01
waybill_complemento_estacion_253,03,EA0134,Rick Husband Amarillo International,Estados Unidos,AMA,,2021-06-01
waybill_complemento_estacion_254,03,EA0135,Anniston Regional,Estados Unidos,ANB,,2021-06-01
waybill_complemento_estacion_255,03,EA0136,Ted Stevens,Estados Unidos,ANC,,2021-06-01
waybill_complemento_estacion_256,03,EA0137,Talladega Municipal,Estados Unidos,ASN,,2021-06-01
waybill_complemento_estacion_257,03,EA0138,Hartsfield - Jackson Atlanta International,Estados Unidos,ATL,,2021-06-01
waybill_complemento_estacion_258,03,EA0139,Appleton International,Estados Unidos,ATW,,2021-06-01
waybill_complemento_estacion_259,03,EA0140,Augusta State,Estados Unidos,AUG,,2021-06-01
waybill_complemento_estacion_260,03,EA0141,Austin-Bergstrom International,Estados Unidos,AUS,,2021-06-01
waybill_complemento_estacion_261,03,EA0142,Asheville Regional,Estados Unidos,AVL,,2021-06-01
waybill_complemento_estacion_262,03,EA0143,Phoenix-Mesa Gateway,Estados Unidos,AZA,,2021-06-01
waybill_complemento_estacion_263,03,EA0144,Kalamazoo/Battle Creek International,Estados Unidos,AZO,,2021-06-01
waybill_complemento_estacion_264,03,EA0145,Bradley International,Estados Unidos,BDL,,2021-06-01
waybill_complemento_estacion_265,03,EA0146,Laurence G Hanscom,Estados Unidos,BED,,2021-06-01
waybill_complemento_estacion_266,03,EA0147,Boeing Field/King County International,Estados Unidos,BFI,,2021-06-01
waybill_complemento_estacion_267,03,EA0148,Meadows Field,Estados Unidos,BFL,,2021-06-01
waybill_complemento_estacion_268,03,EA0149,Bangor International,Estados Unidos,BGR,,2021-06-01
waybill_complemento_estacion_269,03,EA0150,Birmingham-Shuttlesworth,Estados Unidos,BHM,,2021-06-01
waybill_complemento_estacion_270,03,EA0151,Biggs,Estados Unidos,BIF,,2021-06-01
waybill_complemento_estacion_271,03,EA0152,West Michigan Regional,Estados Unidos,BIV,,2021-06-01
waybill_complemento_estacion_272,03,EA0153,Central Il Regional Airport,Estados Unidos,BMI,,2021-06-01
waybill_complemento_estacion_273,03,EA0154,Nashville International,Estados Unidos,BNA,,2021-06-01
waybill_complemento_estacion_274,03,EA0155,General Edward Lawrence Logan International,Estados Unidos,BOS,,2021-06-01
waybill_complemento_estacion_275,03,EA0156,Rafael Hernandez,Estados Unidos,BQN,,2021-06-01
waybill_complemento_estacion_276,03,EA0157,Brownsville/South Padre Island International,Estados Unidos,BRO,,2021-06-01
waybill_complemento_estacion_277,03,EA0158,W K Kellogg,Estados Unidos,BTL,,2021-06-01
waybill_complemento_estacion_278,03,EA0159,Bert Mooney,Estados Unidos,BTM,,2021-06-01
waybill_complemento_estacion_279,03,EA0160,Buffalo Niagara International,Estados Unidos,BUF,,2021-06-01
waybill_complemento_estacion_280,03,EA0161,Warren County Regional,Estados Unidos,BWG,,2021-06-01
waybill_complemento_estacion_281,03,EA0162,Baltimore/Washington International Thurgood Marshall,Estados Unidos,BWI,,2021-06-01
waybill_complemento_estacion_282,03,EA0163,Columbia Metropolitan,Estados Unidos,CAE,,2021-06-01
waybill_complemento_estacion_283,03,EA0164,Akron-Canton Regional,Estados Unidos,CAK,,2021-06-01
waybill_complemento_estacion_284,03,EA0165,Lovell,Estados Unidos,CHA,,2021-06-01
waybill_complemento_estacion_285,03,EA0166,Charleston International,Estados Unidos,CHS,,2021-06-01
waybill_complemento_estacion_286,03,EA0167,The Eastern Iowa,Estados Unidos,CID,,2021-06-01
waybill_complemento_estacion_287,03,EA0168,Cleveland-Hopkins International,Estados Unidos,CLE,,2021-06-01
waybill_complemento_estacion_288,03,EA0169,Easterwood,Estados Unidos,CLL,,2021-06-01
waybill_complemento_estacion_289,03,EA0170,Charlotte/Douglas International,Estados Unidos,CLT,,2021-06-01
waybill_complemento_estacion_290,03,EA0171,John Glenn Columbus International,Estados Unidos,CMH,,2021-06-01
waybill_complemento_estacion_291,03,EA0172,University Of Illinois,Estados Unidos,CMI,,2021-06-01
waybill_complemento_estacion_292,03,EA0173,Aeropuerto de Columbia,Estados Unidos,COA,,2021-06-01
waybill_complemento_estacion_293,03,EA0174,Columbia Regional,Estados Unidos,COU,,2021-06-01
waybill_complemento_estacion_294,03,EA0175,Corpus Christi International,Estados Unidos,CRP,,2021-06-01
waybill_complemento_estacion_295,03,EA0176,Columbus,Estados Unidos,CSG,,2021-06-01
waybill_complemento_estacion_296,03,EA0177,Cincinnati/Northern Kentucky International,Estados Unidos,CVG,,2021-06-01
waybill_complemento_estacion_297,03,EA0178,Dallas Love,Estados Unidos,DAL,,2021-06-01
waybill_complemento_estacion_298,03,EA0179,James M Cox Dayton International,Estados Unidos,DAY,,2021-06-01
waybill_complemento_estacion_299,03,EA0180,Ronald Reagan,Estados Unidos,DCA,,2021-06-01
waybill_complemento_estacion_300,03,EA0181,Denver International,Estados Unidos,DEN,,2021-06-01
waybill_complemento_estacion_301,03,EA0182,Dallas-Fort Worth International,Estados Unidos,DFW,,2021-06-01
waybill_complemento_estacion_302,03,EA0183,De Kalb Taylor Municipal,Estados Unidos,DKB,,2021-06-01
waybill_complemento_estacion_303,03,EA0184,Duluth International,Estados Unidos,DLH,,2021-06-01
waybill_complemento_estacion_304,03,EA0185,Dupage,Estados Unidos,DPA,,2021-06-01
waybill_complemento_estacion_305,03,EA0186,Del Rio International,Estados Unidos,DRT,,2021-06-01
waybill_complemento_estacion_306,03,EA0187,Des Moines International,Estados Unidos,DSM,,2021-06-01
waybill_complemento_estacion_307,03,EA0188,Denton Enterprise,Estados Unidos,DTO,,2021-06-01
waybill_complemento_estacion_308,03,EA0189,Detroit Metropolitan,Estados Unidos,DTW,,2021-06-01
waybill_complemento_estacion_309,03,EA0190,Eagle County Regional,Estados Unidos,EGE,,2021-06-01
